income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
Upper middle income,U25,4.5,3.39,3.0,3.38,0.0,0.0,3.41,3.22,0.0,0.0
Upper middle income,U30,5.9,2.68,3.25,3.13,4.0,0.0,3.41,3.36,3.52,0.0
Lower middle income,U30,5.8,4.0,3.5,3.62,3.5,0.0,3.41,3.42,3.58,0.0
Low income,U30,5.7,4.0,3.75,4.0,0.0,0.0,3.41,3.74,0.0,0.0
Lower middle income,U30,6.5,2.65,3.86,3.79,0.0,0.0,3.41,3.74,0.0,0.0
Upper middle income,U30,5.1,3.5,3.83,3.71,0.0,0.0,3.41,3.69,0.0,0.0
Upper middle income,U30,5,2.76,3.25,3.0,3.0,0.0,3.41,3.31,3.54,0.0
Lower middle income,u37,5.3,3.0,3.0,3.38,3.5,0.0,3.41,3.24,3.45,0.0
Lower middle income,u37,,3.98,3.75,4.0,0.0,0.0,3.41,3.67,0.0,0.0
Low income,u37,6,3.5,4.0,3.88,4.0,0.0,3.41,3.89,3.79,0.0
Upper middle income,u37,5.5,3.39,3.73,3.75,4.0,0.0,3.41,3.69,3.84,0.0
Upper middle income,U30,4.9,3.44,4.0,4.0,4.0,4.0,3.41,3.82,3.93,3.5
Lower middle income,U25,6,4.0,3.88,3.5,0.0,0.0,3.41,3.72,0.0,0.0
Lower middle income,U30,5.8,4.0,2.81,3.25,4.0,0.0,3.41,3.18,3.46,0.0
Upper middle income,U30,6.2,3.0,3.64,3.43,0.0,0.0,3.41,3.61,0.0,0.0
Lower middle income,U30,6,4.0,3.5,3.63,0.0,0.0,3.41,3.48,0.0,0.0
Upper middle income,U30,5.2,3.05,3.25,3.13,3.0,0.0,3.41,3.37,3.54,0.0
Lower middle income,U30,5.4,3.0,3.75,3.6,4.0,0.0,3.41,3.66,3.81,0.0
Lower middle income,u37,4.9,3.57,2.92,3.13,0.0,0.0,3.41,3.19,0.0,0.0
Lower middle income,U30,,3.94,2.88,3.5,0.0,0.0,3.41,3.18,0.0,0.0
Upper middle income,U30,5,2.95,3.64,3.5,3.17,0.0,3.41,3.54,3.71,0.0
Lower middle income,u37,,3.0,3.5,3.25,0.0,0.0,3.41,3.48,0.0,0.0
Upper middle income,U30,4.8,3.45,3.25,3.38,0.0,0.0,3.41,3.3,0.0,0.0
Lower middle income,U30,,3.0,3.13,3.13,3.0,0.0,3.41,3.3,3.46,0.0
Lower middle income,U30,,3.0,3.86,3.43,3.0,0.0,3.41,3.69,3.63,0.0
Lower middle income,U30,,3.0,3.23,3.31,3.5,0.0,3.41,3.32,3.51,0.0
Lower middle income,U30,,3.0,3.86,3.36,3.5,0.0,3.41,3.71,3.69,0.0
Lower middle income,U30,5,3.0,3.63,3.25,3.0,0.0,3.41,3.52,3.62,0.0
Lower middle income,u37,6.1,3.0,4.0,4.0,0.0,0.0,3.41,3.79,0.0,0.0
Lower middle income,u37,,3.5,3.25,3.86,4.0,0.0,3.41,3.38,3.49,0.0
Upper middle income,U30,5.4,3.55,3.71,3.67,0.0,0.0,3.41,3.68,0.0,0.0
Upper middle income,u37,4.5,2.86,2.75,3.0,0.0,0.0,3.41,3.18,0.0,0.0
Upper middle income,U30,4.9,2.64,3.0,3.25,0.0,0.0,3.41,3.22,0.0,0.0
Lower middle income,U30,,3.12,3.71,3.79,0.0,0.0,3.41,3.6,0.0,0.0
Upper middle income,U25,5.7,3.03,3.0,3.25,3.5,0.0,3.41,3.22,3.48,0.0
Upper middle income,u37,5.4,2.5,3.25,3.5,0.0,0.0,3.41,3.37,0.0,0.0
Lower middle income,U30,5.4,3.41,4.0,3.77,4.0,0.0,3.41,3.85,3.83,0.0
Lower middle income,U30,5.5,3.0,2.75,3.3,3.5,3.5,3.41,3.18,3.45,3.5
Upper middle income,u37,5.4,3.8,3.36,3.21,3.0,0.0,3.41,3.4,3.56,0.0
Upper middle income,U30,5.7,3.5,3.64,3.29,3.5,0.0,3.41,3.53,3.67,0.0
Lower middle income,U30,5.4,3.22,3.0,3.27,0.0,0.0,3.41,3.2,0.0,0.0
Upper middle income,U25,5,3.12,3.25,3.25,0.0,0.0,3.41,3.28,0.0,0.0
Lower middle income,U30,,2.81,3.5,3.63,4.0,0.0,3.41,3.5,3.59,0.0
Upper middle income,U30,4.6,2.74,2.88,3.12,3.5,0.0,3.41,3.2,3.45,0.0
Upper middle income,U30,5.5,2.91,3.38,3.5,4.0,4.0,3.41,3.47,3.64,3.5
Upper middle income,U30,5,3.32,3.63,3.38,0.0,0.0,3.41,3.56,0.0,0.0
Lower middle income,u37,,2.5,3.0,3.63,3.5,0.0,3.41,3.22,3.49,0.0
Lower middle income,U44,,4.0,3.75,4.0,0.0,0.0,3.41,3.73,0.0,0.0
